user_id,book_id,rating
8842281e1d1347389f2ab93d60773d4d,375711,5
0f191806c278059bcc7a1015ff7c5420,246546,5
c8bf6c854005db63d0b29f218dfed131,164531,5
80a0059b01f514c7eb97b3b447566a25,65832,5
ced7b8e0a3340e8af27f2663f442c3bb,164531,3
5b443f077434473afb872bd13c41b231,164531,3
5f550cc8d90df1759eda1496621187d8,533675,4
d1e368a7d2870eb6fbf6e0d350568a2d,16056783,3
753746d5d26fea030b33299b34ea1299,2544136,0
753746d5d26fea030b33299b34ea1299,1106532,0
753746d5d26fea030b33299b34ea1299,246546,5
b57c973a0fedabb40a9fbbac241ccf8b,1001896,5
d0aa4e95e3600a44d932c1bb7aba6d86,164531,4
eadf8c06370d9c6fd74121723c8d20e3,164531,0
b00d729fd78909274be1415ce30bcb04,1329946,0
9773b4c5dc241e38d76aff2cb96c96fd,343002,4
809453db2322819cc0401ce8ff9dd091,1001896,4
80d52f5e70f023bd0098ab96599a3530,375711,5
64d7fd29fe5282ff5ffb4f176250bcb8,779021,2
0d644872891a1c0882b31236725a1d47,1001896,4
d25ee74af521a86f61dc3f492488c595,19336,4
d25ee74af521a86f61dc3f492488c595,852724,4
277d804e8b845a605dc31659f8d8a2cb,1001896,4
5792082567cfacbc2d71bceb212a3065,1001896,0
5792082567cfacbc2d71bceb212a3065,19337,3
63bd1f794a21737425d39ea45496c5ab,787540,0
63bd1f794a21737425d39ea45496c5ab,423177,0
63bd1f794a21737425d39ea45496c5ab,774571,0
d8c86e725d683042e9eec675f294d7d4,246546,0
e9e8a9bc4141fcb875fc256ca59d539f,533675,2
e9e8a9bc4141fcb875fc256ca59d539f,1001896,5
477a6f4b2e6aeaf2a7b7ce3169bb30dc,164531,4
528f8e3516cd2f4b8184a5b6801d66a5,779021,4
4937884e137afaa45446be1d2b760116,1001896,0
4937884e137afaa45446be1d2b760116,210297,5
5b31fc1fa8ba1f4e48b3a075e267ad9e,779021,4
ef2372f1b42e9e21bc331f3f546559d6,11696812,0
158feec3653e979acd18c0c427027dda,375711,5
4b64e15c84b3c0d7ae6ebdeb30bb7c94,779021,0
fc0a0792fd1c30427acdbfecbf5b0a20,65832,5
546890bc738a34ed48bdaaafce4a1dc6,852724,4
246eac0ca4d02e73d8768a5acb9b89d7,164531,0
246eac0ca4d02e73d8768a5acb9b89d7,831277,4
246eac0ca4d02e73d8768a5acb9b89d7,1144012,2
037c382333b7084ccee4cdec7401de90,246546,5
037c382333b7084ccee4cdec7401de90,233714,5
037c382333b7084ccee4cdec7401de90,164531,0
34dbf60d0426a15dff4285527b283626,6333,0
1e2e603a3d86ac5d2af6a85e76998766,210297,0
cd36775ab34e7215f18b099445a11fbb,831277,0
0b728822f09e09459f928daf432a7ea1,1615663,0
6e2563836dd28375e0cc671e0dd11ab5,633670,3
f9d166ab9038f2ea54dff7c639cc7cd2,1001896,4
30d3b2b83ded519143a9d63d8362d26f,210297,4
a5444dc45fcae50a7fc8e32570ab3484,489065,0
a5444dc45fcae50a7fc8e32570ab3484,779021,0
a5444dc45fcae50a7fc8e32570ab3484,128518,0
a5444dc45fcae50a7fc8e32570ab3484,10290539,0
a5444dc45fcae50a7fc8e32570ab3484,608727,0
a5444dc45fcae50a7fc8e32570ab3484,375711,0
6917531cb01f0fdee105abf4aebc5899,128518,0
6917531cb01f0fdee105abf4aebc5899,164531,0
723a2a35783fadad2a4f2e00c5e639d7,658036,0
723a2a35783fadad2a4f2e00c5e639d7,608727,0
723a2a35783fadad2a4f2e00c5e639d7,885512,2
723a2a35783fadad2a4f2e00c5e639d7,19337,3
723a2a35783fadad2a4f2e00c5e639d7,19336,1
723a2a35783fadad2a4f2e00c5e639d7,375711,4
89343e995f5a246d3579e9d8b59f356f,375711,0
3c518afc5503c65d408a782b1fd18183,246546,3
7c278f101644675c93da8dbb70e5bf87,343002,4
354df2e61b89b0145033f199606adbc8,164531,3
9cc32a58e6088cbae955f058fe8f8c36,164531,5
507984aed8c94e98186b6ef21a5abe53,164531,0
507984aed8c94e98186b6ef21a5abe53,658036,5
507984aed8c94e98186b6ef21a5abe53,608727,5
507984aed8c94e98186b6ef21a5abe53,885512,5
507984aed8c94e98186b6ef21a5abe53,19336,4
507984aed8c94e98186b6ef21a5abe53,19337,4
507984aed8c94e98186b6ef21a5abe53,375711,4
e67d346e3376d428bf74466bdcde2ff1,1001896,4
a5b703f47ba48f4227e044958ab17d99,1106532,5
a5b703f47ba48f4227e044958ab17d99,246546,5
533cbfa6c73c2662c0c80e594c48d66e,246546,5
b8010f7cd41a57a0cbf691aa24fb4346,209594,0
8bf745a1e2b3ec721ad079990111f114,423177,0
982ef6fd9dd06b692904e43547434e89,210297,0
f566aed5dfd2a256cc08f497ba9ceb6d,246546,4
a25108c1ace9b889eadc3e71995d8f4f,343002,0
18a90fd306154bbad480e04b153a144b,11069937,3
f0a08ed11cc8f6e0985ca3497eed0119,1001896,5
1a8db358578612605b1b3dbf83a3ed75,823591,3
1a8db358578612605b1b3dbf83a3ed75,246546,0
b250e002d3a574f23ab51448f16fc01f,2391,2
b4d50a9115ec0f1e617cc698855d0a34,1001896,0
2b53f827fc8b77203f604bbea26c76af,1001896,5
00c9b42a033f99e817d990a6ae4681e4,533675,5
00c9b42a033f99e817d990a6ae4681e4,1001896,4
ec1ffadf19f92a18ded80255e54e6fb3,1001896,5
ec1ffadf19f92a18ded80255e54e6fb3,779021,4
f58e8e6e69732c357c71e986743ba4f7,246546,0
b3b67704dcff6d2581e020bbab058a38,774587,0
9e04fc58064bf39d847926122cb60110,1577950,4
2c07efff20b2a79782ffc2502f8acda8,779021,0
2c07efff20b2a79782ffc2502f8acda8,608727,2
2c07efff20b2a79782ffc2502f8acda8,19337,3
2c07efff20b2a79782ffc2502f8acda8,19336,3
2c07efff20b2a79782ffc2502f8acda8,375711,3
dfc816f5a5a1ecd6d0bedf3b07ab0eec,1001896,5
b043b474b404097df8f0e0926ebd48f9,343002,0
5a185746da5d054848cfe7eba9791d51,852724,0
9d7b5eefa1170767c990b472b8c39160,1001896,5
feccf1739c1d0194ddb15156d3b896ab,787540,5
feccf1739c1d0194ddb15156d3b896ab,787458,5
feccf1739c1d0194ddb15156d3b896ab,774576,5
feccf1739c1d0194ddb15156d3b896ab,774587,5
feccf1739c1d0194ddb15156d3b896ab,774597,5
feccf1739c1d0194ddb15156d3b896ab,543163,5
feccf1739c1d0194ddb15156d3b896ab,423177,5
feccf1739c1d0194ddb15156d3b896ab,774557,5
feccf1739c1d0194ddb15156d3b896ab,774571,5
feccf1739c1d0194ddb15156d3b896ab,2391,4
feccf1739c1d0194ddb15156d3b896ab,914608,5
feccf1739c1d0194ddb15156d3b896ab,343002,5
feccf1739c1d0194ddb15156d3b896ab,1404078,5
d4dd74fdf5901be684c2b9b7ee3157fe,774576,0
d4dd74fdf5901be684c2b9b7ee3157fe,774597,0
d4dd74fdf5901be684c2b9b7ee3157fe,774587,0
d4dd74fdf5901be684c2b9b7ee3157fe,543163,0
